,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
589,The Commuter,"11,99,42,387","3,63,43,858","8,35,98,529",2017,30.301,69.699
590,Extreme Job,"11,99,32,733","15,65,885","11,83,66,848",2019,1.306,98.694
591,Parental Guidance,"11,97,72,232","7,72,67,296","4,25,04,936",2012,64.512,35.488
592,Dora and the Lost City of Gold,"11,96,82,635","6,04,77,943","5,92,04,692",2019,50.532,49.468
593,Wonder Park,"11,95,59,110","4,52,16,793","7,43,42,317",2019,37.820,62.180
594,Allied,"11,95,20,023","4,00,98,064","7,94,21,959",2016,33.549,66.451
595,I Belonged to You,"11,91,07,580","7,44,541","11,83,63,039",2016,0.625,99.375
596,The Shallows,"11,91,00,758","5,51,24,043","6,39,76,715",2016,46.284,53.716
597,Forever Young,"11,90,55,731",0,"11,90,55,731",2017,0.000,100.000
598,Hankyu Railways - A 15-minute Miracle,"11,87,99,256",0,"11,87,99,256",2011,0.000,100.000
599,The Purge: Election Year,"11,85,87,880","7,92,13,375","3,93,74,505",2016,66.797,33.203
600,Jurassic Park 2013 Re-release,"11,81,92,315","4,53,85,935","7,28,06,380",2013,38.400,61.600
601,A Cool Fish,"11,81,53,135","5,51,876","11,76,01,259",2018,0.467,99.533
602,Why Him?,"11,81,02,725","6,03,23,786","5,77,78,939",2016,51.077,48.923
603,P Storm,"11,79,91,727","3,26,711","11,76,65,016",2019,0.277,99.723
604,Saving Mr. Banks,"11,78,67,984","8,33,01,580","3,45,66,404",2013,70.674,29.326
605,Pompeii,"11,78,31,631","2,32,19,748","9,46,11,883",2014,19.706,80.294
606,Magic Mike XXL,"11,78,13,057","6,60,13,057","5,18,00,000",2015,56.032,43.968
607,Game Night,"11,76,79,066","6,91,79,066","4,85,00,000",2018,58.786,41.214
608,Water for Elephants,"11,70,94,902","5,87,09,717","5,83,85,185",2011,50.139,49.861
609,Warm Bodies,"11,69,80,662","6,63,80,662","5,06,00,000",2013,56.745,43.255
610,Abraham Lincoln: Vampire Hunter,"11,64,71,580","3,75,19,139","7,89,52,441",2012,32.213,67.787
611,Personal Tailor,"11,61,26,458","3,75,892","11,57,50,566",2013,0.324,99.676
612,The Iron Lady,"11,58,90,699","3,00,17,992","8,58,72,707",2011,25.902,74.098
613,Dragon Ball Super: Broly,"11,57,57,940","3,07,12,119","8,50,45,821",2018,26.531,73.469
614,Detective Conan: The Fist of Blue Sapphire,"11,55,70,314",0,"11,55,70,314",2019,0.000,100.000
615,Pitch Perfect,"11,53,50,426","6,50,01,093","5,03,49,333",2012,56.351,43.649
616,The Gentlemen,"11,51,71,795","3,64,71,795","7,87,00,000",2019,31.667,68.333
617,The Monkey King 3,"11,50,84,576","1,87,074","11,48,97,502",2018,0.163,99.837
618,So Young,"11,49,26,694","11,186","11,49,15,508",2013,0.010,99.990
619,Book of Love,"11,46,79,097",0,"11,46,79,097",2016,0.000,100.000
620,Office Christmas Party,"11,45,01,299","5,47,67,494","5,97,33,805",2016,47.831,52.169
621,Hope Springs,"11,42,81,051","6,35,36,011","5,07,45,040",2012,55.596,44.404
622,Seventh Son,"11,41,78,613","1,72,23,265","9,69,55,348",2014,15.084,84.916
623,The Dark Tower,"11,32,31,078","5,07,01,325","6,25,29,753",2017,44.777,55.223
624,Pet Sematary,"11,31,18,226","5,47,24,696","5,83,93,530",2019,48.378,51.622
625,Insidious: Chapter 3,"11,29,83,889","5,22,18,558","6,07,65,331",2015,46.218,53.782
626,Boonie Bears: Blast Into the Past,"11,23,67,881",0,"11,23,67,881",2019,0.000,100.000
627,How to Be Single,"11,23,43,513","4,68,43,513","6,55,00,000",2016,41.697,58.303
628,The Purge: Anarchy,"11,19,28,365","7,19,62,800","3,99,65,565",2014,64.294,35.706
629,"Dad, Where Are We Going?","11,18,70,000",0,"11,18,70,000",2014,0.000,100.000
630,Get Hard,"11,17,11,453","9,04,11,453","2,13,00,000",2015,80.933,19.067
631,The Call of the Wild,"11,11,05,497","6,23,42,368","4,87,63,129",2020,56.111,43.889
632,Good Boys,"11,10,37,232","8,31,40,306","2,78,96,926",2019,74.876,25.124
633,Free Birds,"11,03,87,072","5,57,50,480","5,46,36,592",2013,50.505,49.495
634,10 Cloverfield Lane,"11,02,16,998","7,20,82,998","3,81,34,000",2016,65.401,34.599
635,Moneyball,"11,02,06,216","7,56,05,492","3,46,00,724",2011,68.604,31.396
636,Buddies in India,"11,01,55,128","2,93,194","10,98,61,934",2017,0.266,99.734
637,The 5th Wave,"10,99,06,372","3,49,16,787","7,49,89,585",2015,31.770,68.230
638,Along With the Gods: The Two Worlds,"10,93,83,972","19,08,823","10,74,75,149",2017,1.745,98.255
639,The Boxtrolls,"10,82,55,770","5,08,37,305","5,74,18,465",2014,46.960,53.040
640,Neighbors 2: Sorority Rising,"10,80,07,109","5,54,55,765","5,25,51,344",2016,51.345,48.655
641,Horrible Bosses 2,"10,76,45,357","5,44,45,357","5,32,00,000",2014,50.578,49.422
642,Paul Blart: Mall Cop 2,"10,75,88,225","7,10,38,190","3,65,50,035",2015,66.028,33.972
643,Vacation,"10,72,28,221","5,88,84,188","4,83,44,033",2015,54.915,45.085
644,ParaNorman,"10,71,39,399","5,60,03,051","5,11,36,348",2012,52.271,47.729
645,The Man from U.N.C.L.E.,"10,70,45,109","4,54,45,109","6,16,00,000",2015,42.454,57.546
646,The Breakup Guru,"10,69,80,263","2,08,959","10,67,71,304",2014,0.195,99.805
647,Chronicles of the Ghostly Tribe,"10,63,80,000",0,"10,63,80,000",2015,0.000,100.000
648,Shaun the Sheep Movie,"10,62,09,378","1,93,75,982","8,68,33,396",2015,18.243,81.757
649,First Man,"10,56,97,415","4,49,36,545","6,07,60,870",2018,42.514,57.486
650,Gangster Squad,"10,52,00,903","4,60,00,903","5,92,00,000",2013,43.727,56.273
651,Sisters,"10,50,11,053","8,70,44,645","1,79,66,408",2015,82.891,17.109
652,The Campaign,"10,49,07,746","8,69,07,746","1,80,00,000",2012,82.842,17.158
653,Scary Stories to Tell in the Dark,"10,45,45,505","6,89,47,075","3,55,98,430",2019,65.949,34.051
654,Book Club,"10,44,38,188","6,85,66,296","3,58,71,892",2018,65.653,34.347
655,Immortal Demon Slayer,"10,38,18,506",0,"10,38,18,506",2017,0.000,100.000
656,Ouija,"10,35,90,271","5,08,56,010","5,27,34,261",2014,49.093,50.907
657,Birdman or (The Unexpected Virtue of Ignorance),"10,32,15,094","4,23,40,598","6,08,74,496",2014,41.022,58.978
658,Cold War 2,"10,31,97,501","5,60,824","10,26,36,677",2016,0.543,99.457
659,Night School,"10,31,05,878","7,73,39,130","2,57,66,748",2018,75.009,24.991
660,Transcendence,"10,30,39,258","2,30,22,309","8,00,16,949",2014,22.343,77.657
661,Jigsaw,"10,29,52,888","3,80,52,832","6,49,00,056",2017,36.961,63.039
662,Chappie,"10,28,11,889","3,15,69,268","7,12,42,621",2015,30.706,69.294
663,Star Wars: Episode I - The Phantom Menace 2012 3D Release,"10,27,39,593","4,34,56,382","5,92,83,211",2012,42.298,57.702
664,Project X,"10,27,31,865","5,47,31,865","4,80,00,000",2012,53.276,46.724
665,Railroad Tigers,"10,22,05,175","2,18,044","10,19,87,131",2016,0.213,99.787
666,Heaven Is for Real,"10,18,88,019","9,14,43,253","1,04,44,766",2014,89.749,10.251
667,Detective Conan: Zero the Enforcer,"10,18,60,359",0,"10,18,60,359",2018,0.000,100.000
668,The Devil Inside,"10,17,58,490","5,32,61,944","4,84,96,546",2012,52.342,47.658
669,Joy,"10,11,34,059","5,64,51,232","4,46,82,827",2015,55.818,44.182
670,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","10,06,54,149","6,69,54,149","3,37,00,000",2014,66.519,33.481
671,Life,"10,05,41,806","3,02,34,022","7,03,07,784",2017,30.071,69.929
672,Instructions Not Included,"10,04,86,616","4,44,67,206","5,60,19,410",2013,44.252,55.748
673,Tammy,"10,03,75,432","8,45,25,432","1,58,50,000",2014,84.209,15.791
674,PK,"10,03,70,104","1,06,16,104","8,97,54,000",2014,10.577,89.423
675,Philomena,"10,01,29,872","3,77,09,979","6,24,19,893",2013,37.661,62.339
676,The Continent,"10,01,25,957",0,"10,01,25,957",2014,0.000,100.000
677,Atomic Blonde,"10,00,14,025","5,16,87,870","4,83,26,155",2017,51.681,48.319
678,The Book of Life,"9,97,83,556","5,01,51,543","4,96,32,013",2014,50.260,49.740
679,Black Mass,"9,97,75,678","6,25,75,678","3,72,00,000",2015,62.716,37.284
680,Insidious,"9,95,57,032","5,40,09,150","4,55,47,882",2011,54.249,45.751
681,Line Walker 2: Invisible Spy,"9,94,82,027","2,96,751","9,91,85,276",2019,0.298,99.702
682,The Lucky One,"9,93,57,138","6,04,57,138","3,89,00,000",2012,60.848,39.152
683,Blue Jasmine,"9,91,04,804","3,34,05,481","6,56,99,323",2013,33.707,66.293
684,Ode to My Father,"9,90,85,291","23,00,121","9,67,85,170",2014,2.321,97.679
685,Justin Bieber: Never Say Never,"9,90,36,827","7,30,13,910","2,60,22,917",2011,73.724,26.276
686,Young Detective Dee: Rise of the Sea Dragon,"9,87,74,891","87,783","9,86,87,108",2013,0.089,99.911
687,Spotlight,"9,86,90,254","4,50,55,776","5,36,34,478",2015,45.654,54.346
688,Devil and Angel,"9,85,99,942","1,31,058","9,84,68,884",2015,0.133,99.867
689,The Visit,"9,84,50,062","6,52,06,105","3,32,43,957",2015,66.233,33.767
690,Riddick,"9,83,37,295","4,20,25,135","5,63,12,160",2013,42.736,57.264
691,Alpha,"9,82,03,196","3,58,57,181","6,23,46,015",2018,36.513,63.487
692,Paul,"9,79,84,015","3,74,12,945","6,05,71,070",2011,38.183,61.817
693,Along With the Gods: The Last 49 Days,"9,79,62,238","12,00,246","9,67,61,992",2018,1.225,98.775
694,A Simple Favor,"9,76,44,617","5,35,48,586","4,40,96,031",2018,54.840,45.160
695,Safe Haven,"9,75,94,140","7,13,49,120","2,62,45,020",2013,73.108,26.892
696,The Little Prince,"9,75,71,250","13,39,152","9,62,32,098",2015,1.372,98.628
697,Evil Dead,"9,75,42,952","5,42,39,856","4,33,03,096",2013,55.606,44.394
698,42,"9,74,70,701","9,50,20,213","24,50,488",2013,97.486,2.514
699,Scream 4,"9,71,38,686","3,81,80,928","5,89,57,758",2011,39.306,60.694
700,Legend of the Demon Cat,"9,70,51,623",0,"9,70,51,623",2017,0.000,100.000
701,The Shack,"9,69,42,115","5,73,86,418","3,95,55,697",2017,59.197,40.803
702,Boonie Bears: The Big Shrink,"9,68,45,907",0,"9,68,45,907",2018,0.000,100.000
703,The Rite,"9,65,60,591","3,30,47,633","6,35,12,958",2011,34.225,65.775
704,Contraband,"9,62,62,212","6,65,28,000","2,97,34,212",2012,69.111,30.889
705,Assassination,"9,61,19,773","19,04,682","9,42,15,091",2015,1.982,98.018
706,Think Like a Man,"9,60,70,507","9,15,47,205","45,23,302",2012,95.292,4.708
707,Dolphin Tale,"9,59,32,565","7,22,86,779","2,36,45,786",2011,75.352,24.648
708,The Favourite,"9,59,18,706","3,43,66,783","6,15,51,923",2018,35.829,64.171
709,Qing sheng,"9,57,21,752","1,00,026","9,56,21,726",2016,0.104,99.896
710,The New King of Comedy,"9,56,18,308",0,"9,56,18,308",2019,0.000,100.000
711,Poltergeist,"9,54,37,994","4,74,25,125","4,80,12,869",2015,49.692,50.308
712,The Mortal Instruments: City of Bones,"9,53,96,573","3,11,65,421","6,42,31,152",2013,32.669,67.331
713,Truth or Dare,"9,53,30,493","4,14,11,015","5,39,19,478",2018,43.439,56.561
714,Rush,"9,52,24,595","2,69,47,624","6,82,76,971",2013,28.299,71.701
715,The Hustle,"9,50,17,038","3,54,17,038","5,96,00,000",2019,37.274,62.726
716,Adoring,"9,49,75,692",0,"9,49,75,692",2019,0.000,100.000
717,Kill Mobile,"9,48,70,905",0,"9,48,70,905",2018,0.000,100.000
718,I Feel Pretty,"9,45,39,426","4,87,95,601","4,57,43,825",2018,51.614,48.386
719,Veteran,"9,43,93,020","12,00,627","9,31,92,393",2015,1.272,98.728
720,Masquerade,"9,42,68,432","9,22,921","9,33,45,511",2012,0.979,99.021
721,Police Story: Lockdown,"9,42,49,025",0,"9,42,49,025",2013,0.000,100.000
722,Fleet of Time,"9,42,44,191","5,69,280","9,36,74,911",2014,0.604,99.396
723,Dirty Grandpa,"9,40,73,028","3,55,93,113","5,84,79,915",2016,37.836,62.164
724,Ben-Hur,"9,40,61,311","2,64,10,477","6,76,50,834",2016,28.078,71.922
725,Blockers,"9,40,17,294","6,03,11,495","3,37,05,799",2018,64.149,35.851
726,In the Heart of the Sea,"9,39,20,758","2,50,20,758","6,89,00,000",2015,26.640,73.360
727,The Man from Macau,"9,38,64,936",0,"9,38,64,936",2014,0.000,100.000
728,Rien à déclarer,"9,38,11,164",0,"9,38,11,164",2011,0.000,100.000
729,Kill Zone 2,"9,36,38,358","11,998","9,36,26,360",2015,0.013,99.987
730,The Internship,"9,34,92,844","4,46,72,764","4,88,20,080",2013,47.782,52.218
731,BlacKkKlansman,"9,34,00,823","4,92,75,340","4,41,25,483",2018,52.757,47.243
732,Goosebumps 2: Haunted Halloween,"9,33,20,380","4,67,00,633","4,66,19,747",2018,50.043,49.957
733,Money Monster,"9,32,82,604","4,10,12,075","5,22,70,529",2016,43.965,56.035
734,Train to Busan,"9,27,42,323","21,29,768","9,06,12,555",2016,2.296,97.704
735,Southpaw,"9,19,70,827","5,24,21,953","3,95,48,874",2015,56.998,43.002
736,Brave Hearts: Umizaru,"9,18,84,352",0,"9,18,84,352",2012,0.000,100.000
737,Shadow,"9,17,08,374","5,21,396","9,11,86,978",2018,0.569,99.431
738,Season of the Witch,"9,16,27,228","2,48,27,228","6,68,00,000",2011,27.096,72.904
739,Crawl,"9,15,42,097","3,90,14,193","5,25,27,904",2019,42.619,57.381
740,Five Feet Apart,"9,15,22,094","4,57,29,221","4,57,92,873",2019,49.965,50.035
741,Rambo: Last Blood,"9,14,90,353","4,48,19,352","4,66,71,001",2019,48.988,51.012
742,Overboard,"9,12,44,913","5,03,16,123","4,09,28,790",2018,55.144,44.856
743,Paranormal Activity: The Marked Ones,"9,08,94,962","3,24,62,372","5,84,32,590",2014,35.714,64.286
744,My Big Fat Greek Wedding 2,"9,06,32,641","5,96,89,605","3,09,43,036",2016,65.859,34.141
745,Sherlock Gnomes,"9,04,97,778","4,32,42,871","4,72,54,907",2018,47.783,52.217
746,Jojo Rabbit,"9,03,35,025","3,33,70,906","5,69,64,119",2019,36.941,63.059
747,Red Riding Hood,"9,02,60,376","3,76,62,162","5,25,98,214",2011,41.726,58.274
748,Detective Dee: The Four Heavenly Kings,"9,00,40,771","2,62,963","8,97,77,808",2018,0.292,99.708
749,Sucker Punch,"8,97,92,502","3,63,92,502","5,34,00,000",2011,40.530,59.470
750,The Hundred-Foot Journey,"8,95,14,453","5,42,40,821","3,52,73,632",2014,60.594,39.406
751,The Purge,"8,93,28,627","6,44,73,115","2,48,55,512",2013,72.175,27.825
752,The Inbetweeners,"8,88,23,111","36,000","8,87,87,111",2011,0.041,99.959
753,Collateral Beauty,"8,85,28,280","3,10,16,021","5,75,12,259",2016,35.035,64.965
754,Line Walker,"8,82,28,755",0,"8,82,28,755",2016,0.000,100.000
755,This Is 40,"8,82,15,156","6,75,44,505","2,06,70,651",2012,76.568,23.432
756,Dhoom 3,"8,80,31,955","80,31,955","8,00,00,000",2013,9.124,90.876
757,Chasing the Dragon,"8,79,65,942","4,56,854","8,75,09,088",2017,0.519,99.481
758,Deliver Us from Evil,"8,79,37,815","3,05,77,122","5,73,60,693",2014,34.771,65.229
759,Tiger Zinda Hai,"8,73,20,000","55,60,921","8,17,59,079",2017,6.368,93.632
760,Pain & Gain,"8,73,05,549","4,98,75,291","3,74,30,258",2013,57.127,42.873
761,Sultan,"8,72,80,000","62,00,000","8,10,80,000",2016,7.104,92.896
762,A Million Ways to Die in the West,"8,71,89,756","4,31,39,300","4,40,50,456",2014,49.477,50.523
763,The Thieves,"8,71,26,367","6,85,839","8,64,40,528",2012,0.787,99.213
764,About Time,"8,71,00,449","1,53,22,921","7,17,77,528",2013,17.592,82.408
765,American Dreams in China,"8,70,97,067",0,"8,70,97,067",2013,0.000,100.000
766,"Hello, Mrs. Money","8,68,74,070",0,"8,68,74,070",2018,0.000,100.000
767,Snowpiercer,"8,67,58,912","45,63,650","8,21,95,262",2013,5.260,94.740
768,The Lincoln Lawyer,"8,67,52,352","5,80,09,200","2,87,43,152",2011,66.868,33.132
769,Robin Hood,"8,64,89,031","3,08,24,628","5,56,64,403",2018,35.640,64.360
770,A Taxi Driver,"8,62,52,940","15,27,829","8,47,25,111",2017,1.771,98.229
771,War Dogs,"8,62,34,523","4,30,34,523","4,32,00,000",2016,49.904,50.096
772,Step Up All In,"8,61,65,646","1,49,04,384","7,12,61,262",2014,17.297,82.703
773,Hall Pass,"8,61,57,237","4,50,60,734","4,10,96,503",2011,52.301,47.699
774,I Can Only Imagine,"8,60,86,881","8,34,82,352","26,04,529",2018,96.975,3.025
775,John Wick,"8,60,13,056","4,30,37,835","4,29,75,221",2014,50.036,49.964
776,The Second Best Exotic Marigold Hotel,"8,59,78,266","3,30,78,266","5,29,00,000",2015,38.473,61.527
777,Spy Kids 4-D: All the Time in the World,"8,55,64,310","3,85,38,188","4,70,26,122",2011,45.040,54.960
778,Paper Towns,"8,55,12,300","3,20,00,304","5,35,11,996",2015,37.422,62.578
779,The Possession,"8,54,46,075","4,91,30,154","3,63,15,921",2012,57.498,42.502
780,Big Fish & Begonia,"8,54,09,373",0,"8,54,09,373",2016,0.000,100.000
781,Nerve,"8,52,51,425","3,85,83,626","4,66,67,799",2016,45.259,54.741
782,Hidden Man,"8,51,70,581",0,"8,51,70,581",2018,0.000,100.000
783,J. Edgar,"8,49,20,539","3,73,06,030","4,76,14,509",2011,43.931,56.069
784,Going in Style,"8,49,18,541","4,50,18,541","3,99,00,000",2017,53.014,46.986
785,Sicario,"8,48,72,444","4,68,89,293","3,79,83,151",2015,55.247,44.753
786,Carrie,"8,47,90,678","3,52,66,619","4,95,24,059",2013,41.593,58.407
787,The Judge,"8,44,19,388","4,71,19,388","3,73,00,000",2014,55.816,44.184
788,What to Expect When You're Expecting,"8,43,84,002","4,11,52,203","4,32,31,799",2012,48.768,51.232
789,Leap!,"8,41,97,417","28,44,490","8,13,52,927",2016,3.378,96.622
790,Finding Mr. Right,"8,41,12,033","6,945","8,41,05,088",2013,0.008,99.992
791,Our Times,"8,38,67,493",0,"8,38,67,493",2015,0.000,100.000
792,Mortal Engines,"8,36,72,673","1,59,51,040","6,77,21,633",2018,19.064,80.936
793,Rings,"8,30,80,890","2,77,93,018","5,52,87,872",2017,33.453,66.547
794,Suck Me Shakespeer 2,"8,30,27,924",0,"8,30,27,924",2015,0.000,100.000
795,Savages,"8,29,66,152","4,73,82,068","3,55,84,084",2012,57.110,42.890
796,Once Upon A Time,"8,28,86,178","4,85,728","8,24,00,450",2017,0.586,99.414
797,The Fighter Pilot,"8,28,79,386",0,"8,28,79,386",2013,0.000,100.000
798,"Big Mommas: Like Father, Like Son","8,26,86,066","3,79,15,414","4,47,70,652",2011,45.855,54.145
799,Sinister,"8,25,15,113","4,80,86,903","3,44,28,210",2012,58.276,41.724
800,Act of Valor,"8,24,97,035","7,00,12,847","1,24,84,188",2012,84.867,15.133
801,Hitman: Agent 47,"8,23,47,656","2,24,67,450","5,98,80,206",2015,27.284,72.716
802,Tiny Times 3.0,"8,23,20,000",0,"8,23,20,000",2014,0.000,100.000
803,Miracle in Cell No. 7,"8,21,01,723",0,"8,21,01,723",2013,0.000,100.000
804,Abduction,"8,20,87,155","2,80,87,155","5,40,00,000",2011,34.216,65.784
805,Ouija: Origin of Evil,"8,17,05,746","3,51,44,505","4,65,61,241",2016,43.014,56.986
806,One Piece: Stampede,"8,15,62,741","12,98,528","8,02,64,213",2019,1.592,98.408
807,Frankenweenie,"8,14,91,068","3,52,91,068","4,62,00,000",2012,43.307,56.693
808,Wolf Warrior,"8,14,11,331",0,"8,14,11,331",2015,0.000,100.000
809,Gone with the Bullets,"8,13,87,479",0,"8,13,87,479",2014,0.000,100.000
810,Tinker Tailor Soldier Spy,"8,12,44,605","2,41,49,393","5,70,95,212",2011,29.724,70.276
811,iPartment the Movie,"8,10,96,321",0,"8,10,96,321",2018,0.000,100.000
812,Underworld: Blood Wars,"8,10,93,313","3,03,53,973","5,07,39,340",2016,37.431,62.569
813,Doraemon the Movie: Nobita's Treasure Island,"8,09,20,916",0,"8,09,20,916",2018,0.000,100.000
814,A Dog's Way Home,"8,07,08,134","4,20,04,346","3,87,03,788",2019,52.045,47.955
815,Go Away Mr. Tumor,"8,06,06,893","2,86,639","8,03,20,254",2015,0.356,99.644
816,Caught in Time,"8,05,43,319",0,"8,05,43,319",2020,0.000,100.000
817,Den of Thieves,"8,05,09,622","4,49,47,622","3,55,62,000",2018,55.829,44.171
818,Muppets Most Wanted,"8,03,83,113","5,11,83,113","2,92,00,000",2014,63.674,36.326
819,Hereditary,"8,02,00,936","4,40,69,456","3,61,31,480",2018,54.949,45.051
820,The Wedding Ringer,"7,97,99,880","6,44,60,211","1,53,39,669",2015,80.777,19.223
821,The Grey,"7,97,81,695","5,15,80,236","2,82,01,459",2012,64.652,35.348
822,Paradox,"7,92,26,860",0,"7,92,26,860",2017,0.000,100.000
823,Manchester by the Sea,"7,89,88,148","4,76,95,371","3,12,92,777",2016,60.383,39.617
824,Lady Bird,"7,89,65,611","4,89,58,273","3,00,07,338",2017,61.999,38.001
825,Paranormal Activity: The Ghost Dimension,"7,89,03,124","1,83,00,124","6,06,03,000",2015,23.193,76.807
826,The Boss,"7,88,44,582","6,32,85,885","1,55,58,697",2016,80.267,19.733
827,Code Blue: The Movie,"7,87,78,562",0,"7,87,78,562",2018,0.000,100.000
828,Spanish Affair,"7,87,68,613",0,"7,87,68,613",2014,0.000,100.000
829,The Attorney,"7,85,47,586","5,57,236","7,79,90,350",2013,0.709,99.291
830,The Family,"7,84,18,811","3,69,18,811","4,15,00,000",2013,47.079,52.921
831,Scary Movie V,"7,83,78,744","3,20,15,787","4,63,62,957",2013,40.848,59.152
832,R.I.P.D.,"7,83,24,220","3,36,18,855","4,47,05,365",2013,42.923,57.077
833,Priest,"7,83,09,505","2,91,37,000","4,91,72,505",2011,37.207,62.793
834,If I Stay,"7,82,74,843","5,04,74,843","2,78,00,000",2014,64.484,35.516
835,Tag,"7,81,30,625","5,47,30,625","2,34,00,000",2018,70.050,29.950
836,Head Full of Honey,"7,81,27,384",0,"7,81,27,384",2014,0.000,100.000
837,The Left Ear,"7,80,15,473",0,"7,80,15,473",2015,0.000,100.000
838,Shin Godzilla,"7,79,47,607","19,18,403","7,60,29,204",2016,2.461,97.539
839,Tiny Times 4.0,"7,77,50,000",0,"7,77,50,000",2015,0.000,100.000
840,Tiny Times,"7,77,17,014","23,462","7,76,93,552",2013,0.030,99.970
841,Suck Me Shakespeer,"7,76,76,735",0,"7,76,76,735",2013,0.000,100.000
842,Diary of a Wimpy Kid: Dog Days,"7,72,29,695","4,90,08,662","2,82,21,033",2012,63.458,36.542
843,Fantastica: A Boonie Bears Adventure,"7,71,51,096",0,"7,71,51,096",2017,0.000,100.000
844,Mike and Dave Need Wedding Dates,"7,70,68,246","4,60,09,673","3,10,58,573",2016,59.700,40.300
845,Drive,"7,69,76,666","3,50,61,555","4,19,15,111",2011,45.548,54.452
846,"I, Frankenstein","7,68,01,179","1,90,75,290","5,77,25,889",2014,24.837,75.163
847,Sanju,"7,66,93,052","79,09,317","6,87,83,735",2018,10.313,89.687
848,The Book Thief,"7,65,86,316","2,14,88,481","5,50,97,835",2013,28.058,71.942
849,Cold Pursuit,"7,64,19,755","3,21,38,862","4,42,80,893",2019,42.056,57.944
850,The Ides of March,"7,63,38,111","4,09,62,534","3,53,75,577",2011,53.659,46.341
851,Kubo and the Two Strings,"7,62,49,438","4,80,23,088","2,82,26,350",2016,62.982,37.018
852,The Mechanic,"7,61,30,093","2,91,21,498","4,70,08,595",2011,38.252,61.748
853,Vice,"7,60,73,488","4,78,36,282","2,82,37,206",2018,62.882,37.118
854,Widows,"7,59,84,700","4,24,02,632","3,35,82,068",2018,55.804,44.196
855,Quo vado?,"7,58,78,701",0,"7,58,78,701",2016,0.000,100.000
856,Sicario: Day of the Soldado,"7,58,37,743","5,00,72,235","2,57,65,508",2018,66.025,33.975
857,A Dog's Journey,"7,57,41,734","2,27,82,371","5,29,59,363",2019,30.079,69.921
858,Bajrangi Bhaijaan,"7,55,47,184","81,78,001","6,73,69,183",2015,10.825,89.175
859,Searching,"7,54,62,037","2,60,20,957","4,94,41,080",2018,34.482,65.518
860,The Change-Up,"7,54,50,437","3,70,81,475","3,83,68,962",2011,49.147,50.853
861,The Spy Who Dumped Me,"7,53,20,680","3,35,62,069","4,17,58,611",2018,44.559,55.441
862,Larry Crowne,"7,50,55,070","3,56,08,245","3,94,46,825",2011,47.443,52.557
863,Animal World,"7,49,22,830",0,"7,49,22,830",2018,0.000,100.000
864,Boo! A Madea Halloween,"7,48,27,344","7,32,06,343","16,21,001",2016,97.834,2.166
865,A Madea Family Funeral,"7,47,47,725","7,32,57,045","14,90,680",2019,98.006,1.994
866,Crimson Peak,"7,46,79,822","3,10,90,320","4,35,89,502",2014,41.631,58.369
867,Escape from Planet Earth,"7,45,97,643","5,70,12,977","1,75,84,666",2013,76.427,23.573
868,Thermae Romae,"7,42,85,251",0,"7,42,85,251",2012,0.000,100.000
869,One Piece Film Z,"7,42,23,861",0,"7,42,23,861",2012,0.000,100.000
870,August: Osage County,"7,41,88,937","3,77,38,810","3,64,50,127",2013,50.869,49.131
871,Miracles from Heaven,"7,39,83,003","6,17,05,123","1,22,77,880",2016,83.404,16.596
872,Cats,"7,38,33,348","2,71,66,770","4,66,66,578",2019,36.795,63.205
873,Charlie's Angels,"7,32,79,888","1,78,03,077","5,54,76,811",2019,24.295,75.705
874,War Room,"7,32,67,874","6,77,90,117","54,77,757",2015,92.524,7.476
875,To Rome with Love,"7,32,44,881","1,66,85,867","5,65,59,014",2012,22.781,77.219
876,Here Comes the Boom,"7,31,00,172","4,52,90,318","2,78,09,854",2012,61.957,38.043
877,My Old Classmate,"7,30,52,128",0,"7,30,52,128",2014,0.000,100.000
878,Bayside Shakedown the Final,"7,28,67,395",0,"7,28,67,395",2012,0.000,100.000
879,The Best Man Holiday,"7,28,35,710","7,05,25,195","23,10,515",2013,96.828,3.172
880,The Bélier Family,"7,27,51,538",0,"7,27,51,538",2014,0.000,100.000
881,The Transporter Refueled,"7,26,29,670","1,60,29,670","5,66,00,000",2015,22.070,77.930
882,Diary of a Wimpy Kid: Rodrick Rules,"7,25,26,996","5,26,98,535","1,98,28,461",2011,72.661,27.339
883,Amazing China,"7,25,06,343",0,"7,25,06,343",2018,0.000,100.000
884,Serial (Bad) Weddings 2,"7,24,88,125",0,"7,24,88,125",2019,0.000,100.000
885,Doctor Sleep,"7,23,81,712","3,15,81,712","4,08,00,000",2019,43.632,56.368
886,Second Act,"7,22,82,227","3,92,82,227","3,30,00,000",2018,54.346,45.654
887,What Men Want,"7,22,16,294","5,46,11,903","1,76,04,391",2019,75.623,24.377
888,Run All Night,"7,15,61,644","2,64,61,644","4,51,00,000",2015,36.977,63.023
889,Brick Mansions,"7,14,16,730","2,03,96,829","5,10,19,901",2014,28.560,71.440
890,The Counselor,"7,10,09,334","1,69,73,715","5,40,35,619",2013,23.903,76.097
891,Son of God,"7,08,29,270","5,97,00,064","1,11,29,206",2014,84.287,15.713
892,I Am Not Madame Bovary,"7,08,26,207","4,36,798","7,03,89,409",2016,0.617,99.383
